                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 3.7752,                  5.901,                 4.3778,                 0.0003,                0.05809,                0.00018,                  7e-05,                 3.7304,                 5.5683,                 4.1378,                 0.0811,                 0.0021,                 0.0021
                      1,                 3.8142,                 4.9525,                 4.2163,                0.00031,                0.06224,                0.00018,                  7e-05,                 3.7131,                  4.269,                 4.0982,               0.061257,              0.0042574,              0.0042574
                      2,                 3.8666,                  4.606,                 4.1491,                0.00059,                 0.0249,                0.00033,                0.00011,                 3.7046,                 4.2707,                 4.0631,               0.041371,              0.0063713,              0.0063713
                      3,                 3.9109,                 4.5828,                 4.0813,                0.00058,                0.02282,                0.00031,                0.00012,                 3.6948,                 4.2482,                 4.0229,               0.021442,              0.0084416,              0.0084416
                      4,                 3.7655,                 4.3975,                 4.0367,                0.00085,                0.03527,                0.00071,                0.00023,                 3.6303,                 4.2893,                 4.0093,               0.009604,               0.009604,               0.009604
                      5,                 3.6141,                 4.4057,                  3.916,                 0.0017,                0.00207,                 0.0004,                0.00012,                 3.6747,                 9.0116,                 6.6624,               0.009604,               0.009604,               0.009604
                      6,                 3.2738,                 4.2406,                 3.6622,                0.00179,                0.01037,                 0.0004,                0.00012,                 3.7197,                 19.259,                 30.516,               0.009505,               0.009505,               0.009505
                      7,                 3.0154,                 4.0906,                 3.4934,                0.00528,                0.02905,                0.00128,                0.00051,                 3.2391,                 65.209,                 5.8897,               0.009406,               0.009406,               0.009406
                      8,                 2.8397,                 3.8941,                 3.1273,                 0.0239,                0.05809,                0.00578,                0.00235,                 2.7349,                 22.748,                 4.4412,               0.009307,               0.009307,               0.009307
                      9,                 2.7632,                 3.8729,                  3.018,                0.03985,                0.06432,                0.00642,                0.00243,                   2.71,                 5.0571,                  4.067,               0.009208,               0.009208,               0.009208
                     10,                 2.6282,                 3.6144,                 2.8221,                0.06995,                0.08714,                0.01777,                0.00706,                 2.6552,                 28.474,                 4.1288,               0.009109,               0.009109,               0.009109
                     11,                 2.5791,                 3.5531,                   2.74,                0.38462,                0.02075,                0.02273,                0.01045,                 2.5398,                  113.5,                 3.8637,                0.00901,                0.00901,                0.00901
                     12,                 2.4835,                 3.3868,                 2.6512,                0.21834,                0.07469,                0.03988,                0.01772,                 2.5003,                 8.3367,                 2.9396,               0.008911,               0.008911,               0.008911
                     13,                 2.5679,                 3.4406,                 2.5183,                0.23204,                0.13278,                0.09175,                 0.0439,                 2.3257,                 5.5016,                 2.6724,               0.008812,               0.008812,               0.008812
                     14,                 2.3128,                 3.1891,                 2.4746,                 0.2604,                0.14315,                0.10936,                0.05574,                 2.1442,                 3.9141,                 2.4236,               0.008713,               0.008713,               0.008713
                     15,                 2.2503,                 3.1807,                 2.3511,                0.09411,                0.11826,                 0.0313,                0.01503,                 2.1284,                 9.4219,                 2.7464,               0.008614,               0.008614,               0.008614
                     16,                 2.3344,                 3.1225,                 2.3497,                 0.2995,                 0.1556,                0.12461,                0.06162,                 2.0033,                 7.4677,                   2.28,               0.008515,               0.008515,               0.008515
